iter	Passed	Remaining
0	98	98815
1	121	60528
2	136	45404
3	158	39575
4	180	35891
5	223	37045
6	247	35113
7	269	33390
8	293	32264
9	321	31872
10	354	31909
11	378	31193
12	411	31215
13	438	30854
14	458	30111
15	481	29627
16	502	29038
17	539	29414
18	595	30751
19	639	31332
20	673	31409
21	695	30934
22	717	30466
23	739	30078
24	767	29950
25	796	29833
26	821	29617
27	850	29517
28	871	29170
29	894	28914
30	914	28597
31	935	28301
32	962	28216
33	1000	28439
34	1031	28446
35	1058	28343
36	1080	28134
37	1102	27900
38	1125	27741
39	1149	27581
40	1177	27541
41	1209	27579
42	1240	27604
43	1267	27542
44	1297	27541
45	1318	27350
46	1347	27319
47	1372	27219
48	1398	27136
49	1425	27081
50	1457	27122
51	1488	27134
52	1509	26979
53	1534	26883
54	1555	26717
55	1574	26535
56	1595	26390
57	1627	26429
58	1657	26442
59	1688	26458
60	1712	26365
61	1733	26221
62	1753	26080
63	1777	25998
64	1798	25865
65	1828	25869
66	1857	25869
67	1885	25838
68	1912	25809
69	1940	25786
70	1961	25660
71	1987	25613
72	2011	25546
73	2035	25473
74	2064	25464
75	2097	25501
76	2123	25460
77	2144	25349
78	2164	25239
79	2191	25205
80	2211	25092
81	2242	25108
82	2266	25035
83	2295	25037
84	2321	24988
85	2344	24919
86	2365	24819
87	2386	24730
88	2407	24638
89	2433	24602
90	2458	24558
91	2489	24575
92	2528	24658
93	2554	24625
94	2576	24540
95	2596	24449
96	2618	24377
97	2641	24309
98	2674	24338
99	2705	24351
100	2733	24327
101	2758	24286
102	2781	24220
103	2802	24142
104	2823	24063
105	2851	24046
106	2874	23993
107	2905	23993
108	2933	23976
109	2958	23938
110	2980	23871
111	3001	23801
112	3022	23728
113	3045	23667
114	3066	23600
115	3096	23594
116	3127	23605
117	3152	23562
118	3181	23556
119	3203	23492
120	3226	23437
121	3249	23384
122	3269	23315
123	3298	23300
124	3329	23304
125	3362	23321
126	3392	23320
127	3418	23288
128	3441	23239
129	3462	23173
130	3490	23154
131	3515	23115
132	3544	23108
133	3572	23087
134	3598	23053
135	3621	23004
136	3641	22938
137	3661	22870
138	3683	22817
139	3703	22751
140	3741	22792
141	3767	22766
142	3794	22742
143	3822	22721
144	3844	22668
